parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
630,ACL,1808A,Serpentine Belt,,,1,1,38.57,0,173200,38.57,20.4,20.4,20.4
631,ACL,1829A,Exhaust Pressure Sensor,,,0,0,135.07,0,173500,135.07,71,71,71
632,ACL,1838A,Turbo Intake Hose,,,0,0,39.71,0,173800,39.71,18.5,18.5,18.5
633,ACL,1849A,GASKET,,,0,0,55,0,174100,55,26,26,26
634,ACL,1949A,Automotive Part Department,,,0,0,,0,174200,,,,
635,ACL,1995A,ENGINE MOUNT/FRONT,,,0,0,346.83,0,174500,346.83,225.44,225.44,225.44
636,ACL,2137A,Exhaust Gasket,,,0,0,7.31,0,174800,7.31,5,5,4.75
637,ACL,2179A,EXH CLAMPS,,,1,1,57.11,0,175100,57.11,22.5,22.5,22.5
638,ACL,2189A,EXHAUST HANGER,,,0,0,,0,175400,,3.2,3.2,3.2
639,ACL,2600A,EXH FLAP,,,0,0,535.71,0,175700,535.71,280,280,280
640,ACL,3054A,A/T FLEX PLATE,,ACL,0,0,88.61,0,176000,88.61,42.28,42.28,42.28
641,ACL,3381A,COOLER SEAL,,ACL,1,1,3.79,0,176300,3.79,1.3,1.3,1.3
642,ACL,3992A,TRANSMISSION ATF4400,,,28,28,15.33,0,176600,15.33,7.5,7.5,7.5
643,ACL,3999A,ATF 1L,,,2,2,19.29,0,176900,19.29,10.5,10.5,10.5
644,ACL,4333A,PINCH BOLT,,,0,0,4.2,0,177200,4.2,2.97,2.97,2.97
645,ACL,4357A,"Control Arm,Right Rear Upper",,,0,0,102.04,0,177600,102.04,50,50,50
646,ACL,4358A,Ball Joint,,,1,1,64.29,0,177900,64.29,33,33,33
647,ACL,4398A,Wheel Hub,,,0,0,80.03,0,178200,80.03,80,80,80
648,ACL,4428A,control arm bushing,,,0,0,28.29,0,178500,28.29,12,12,12
649,ACL,4485A,WHEEL BEARING K,,,0,0,252.41,0,178800,252.41,114.85,114.85,114.85
650,ACL,4615A,UPPER SPRING SEAT,,,0,0,13.19,0,179100,13.19,6,6,6
651,ACL,4988A,CV Boot Kit/Front inner. A/T.,,,1,1,27.22,0,179400,27.22,17.69,17.69,17.69
652,ACL,4999A,Power Steering Fluid ZH 3044,,,5,5,26.43,0,179700,26.43,12.95,12.95,12.95
653,ACL,5333A,RER HUB BEARING,,,2,2,121.43,0,180000,121.43,38,38,38
