parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
1811,ACL,F385A,GAS PLUS -FUEL ADDITIVE,,ACL,1,1,14.29,0,498200,14.29,5.95,5.95,5.95
1812,ACL,F238B,5W40 SYN,,,0,0,65.66,0,498500,65.66,35.95,35.95,35.96
1813,ACL,FB106A,"FEBI ATF FOR ZF6HP19-26 AT, 1L",,,1,1,27.86,0,498800,27.86,13.95,13.95,13.95
1814,ACL,FB106B,83220146516--OEM NO.,,ACL,1,1,98,0,499100,98,64.95,64.95,64.95
1815,ACL,1675FG,T.BODY GASKET,,,1,1,23.4,0,499400,23.4,10,10,10
1816,ACL,FT1380,OIL FILTER,,,2,2,12.29,0,499500,12.29,7.99,7.99,7.99
1817,ACL,FT1600,AIR FILTER/FIAT,,,1,1,38.55,0,499800,38.55,15.28,15.28,15.28
1818,ACL,FT1601,AIR FILTER/FIAT,,,0,0,18.46,0,499900,18.46,12,12,12
1819,ACL,FT4401,Rear Wheel Hub and Bearing,,,1,0,169.22,1,500000,169.22,109.99,109.99,109.99
1820,ACL,FT6860,Rear ROTOR,,,0,0,32.5,0,500100,32.5,19.18,19.18,19.18
1821,ACL,FT8080,CABIN  FILTER/FIAT,,,0,0,16.88,0,500200,16.88,10.97,10.97,10.97
1822,ACL,1094G,Gasket,,,0,0,24.73,0,500500,24.73,11.25,11.25,11.25
1823,ACL,1258G,TENSIONER GASKET,,,0,0,3.08,0,500800,3.08,2,2,2
1824,ACL,1300G,UPPER CHAIN GUIDE,,,0,0,57.69,0,500900,57.69,37.5,37.5,37.5
1825,ACL,1320G,Timing Chain Tensioner,,,0,0,72.77,0,501200,72.77,61.01,61.01,47.3
1826,ACL,1321G,Guide Rail Upper Center,,,0,0,24.29,0,501500,24.29,13,13,13
1827,ACL,1387G,OIL FILTER BRACKET GASKET,,,1,1,4.26,0,501800,4.26,0.77,0.77,0.77
1828,ACL,1399G,WATER PUMP W/METAL,,,0,0,56.92,0,502100,56.92,37,37,37
1829,ACL,1472G,SEAL,,,0,0,1.62,0,502400,1.62,1.05,1.05,1.05
1830,ACL,1476G,Coolant Flange Gasket,,,0,0,11.43,0,502700,11.43,8,8,8
1831,ACL,1670G,Gasket,,,0,0,6.28,0,503000,6.28,4.08,4.08,4.08
1832,ACL,1765G,Vacuum Pump Gasket Set,,,0,0,9.42,0,503100,9.42,6.12,6.12,6.12
1833,ACL,4967G,CV BOOT,,,1,1,25.09,0,503400,25.09,10,10,10
1834,ACL,9051G,I/C SEAL,,,3,3,6,0,503700,6,2,2,2
1835,ACL,9267G,AIR FLOW METER,,,1,1,199.37,0,504000,199.37,135,135,135
1836,ACL,9274G,MASS  AIR FLOW,,,0,0,209.23,0,504100,209.23,136,136,136
1837,ACL,9275G,EGT SENSOR,,,0,0,,0,504200,,175,175,175
1838,ACL,9843G,WINDOW SWITCH,,,1,1,127,0,504500,127,65,65,65
1839,ACL,1094H,PCV Valve,,,1,1,107.69,0,504800,107.69,49,49,41.59
1840,ACL,1096H,OIL PAN VW,,,1,1,93.87,0,505100,93.87,46,46,46
1841,ACL,1300H,UPPER CHAIN GUIDE,,,0,0,39.23,0,505200,39.23,25.5,25.5,25.5
1842,ACL,1390H,OIL FILTER HOUSING,,,0,0,298.2,0,505300,298.2,228.2,228.2,228.2
1843,ACL,1414H,WATER PUMP,,,1,1,118.57,0,505600,118.57,71,71,71
1844,ACL,1417H,WATER PUP,,,1,1,37.66,0,505900,37.66,24.48,24.48,24.48
1845,ACL,1418H,"Rad Hose,Lower",,,0,0,54.59,0,506200,54.59,28.85,28.85,26.75
1846,ACL,1466H,THERMOSTAT,,,1,1,138.46,0,506500,138.46,63,63,63
1847,ACL,1468H,THERMOSTAT OEM,,,0,0,32.86,0,506800,32.86,17,17,17
1848,ACL,9054H,Ignition Coil Pack,,,1,1,294.29,0,507100,294.29,145,145,155
1849,ACL,9235H,Glow Plug Connector,,ACL,0,0,33.65,0,507200,33.65,21.87,21.87,21.87
1850,ACL,9275H,EGT SENSOR BEFORE TURBO,,,0,0,,0,507600,,150,150,150
1851,ACL,HC,HANDLING CHARGE,,,0,0,138.46,0,507900,138.46,90,90,90
1852,ACL,1094J,PCV VALVE ASSEMBLY,,,0,0,48.46,0,508000,48.46,31.5,31.5,31.5
1853,ACL,1387J,OIL FILTER BRACK GASKET,,,1,1,13.79,0,508300,13.79,5.1,5.1,5.1
1854,ACL,1390J,Oil Filter Housing,,,0,0,230.77,0,508400,230.77,150,150,150
1855,ACL,1399J,W/P 038198119A,,,3,3,97.14,0,508700,97.14,35.21,35.21,45.07
1856,ACL,1418J,LOWER RAD HOSE,,,0,0,57.14,0,509100,57.14,40,40,40
1857,ACL,J1440,UPPER RAD HOSE,,,0,0,218.77,0,509200,218.77,142.2,142.2,142.2
1858,ACL,1452J,Upper Radiator Hose,,,0,0,70.05,0,509500,70.05,45.53,45.53,45.53
1859,ACL,1618J,EXHAUST MAN. GASKET,,,1,1,10.81,0,509800,10.81,3.57,3.57,3.57
1860,ACL,J4250,"Ball Joint, Front",,,0,0,27.34,0,510100,27.34,17.77,17.77,17.77
1861,ACL,J4424,Control Arm Bushing,,,0,0,44.62,0,510500,44.62,20.99,20.99,29
1862,ACL,J4505,SWAYBAR BUSHING,,ACL,3,3,20.04,0,510800,20.04,9.12,9.12,9.12
1863,ACL,J4669,Sway Bar Link,,,0,0,51.27,0,511100,51.27,17.24,17.24,16.3
1864,ACL,J4670,"Sway Bar Link, Front",,,0,0,34.46,0,511400,34.46,22.4,22.4,22.4
1865,ACL,J4701,TIE ROD END INN,,,1,1,65.57,0,511700,65.57,31.45,31.45,31.45
1866,ACL,J4755,TIE ROD END LH,,,1,1,74.86,0,512000,74.86,39.52,39.52,39.52
1867,ACL,J4756,TIE ROD END,,,0,0,69.94,0,512300,69.94,45.46,45.46,45.46
1868,ACL,J4759,TIE ROD END OUT,,,2,2,47.86,0,512600,47.86,18.48,18.48,18.48
1869,ACL,5615J,UPPER SHOCK MOT,,,2,2,30.84,0,512900,30.84,16,16,16
1870,ACL,5620J,Automotive Part Department,,,1,1,9.64,0,513200,9.64,3.75,3.75,3.06
1871,ACL,5621J,REAR COIL SPRING (PAIR),,,0,0,97.77,0,513500,97.77,34,34,34
1872,ACL,J5776,"Stabilising Link, Rear",,,0,0,161.42,0,513600,161.42,104.92,104.92,104.92
1873,ACL,J6203,FT WEAR SENSORS,,,0,0,,0,513900,,17.05,17.05,17.05
1874,ACL,J6205,BRAKE SENSOR,,,0,0,97.14,0,514200,97.14,53.1,53.1,52.8
1875,ACL,J6210,BRAKE WAER SENSOR REAR 10199,,,5,5,83.14,0,514300,83.14,19.38,19.38,21.37
1876,ACL,J6830,FT ROTOR,,,0,0,164.29,0,514600,164.29,86,86,86
1877,ACL,J6832,FT ROTOR,,,0,0,132.29,0,514900,132.29,69.6,69.6,69.6
1878,ACL,J6838,FRONT ROTOR,,,0,0,157.14,0,515200,157.14,84,84,84
1879,ACL,J6865,"Brake Disc,Rear",,,0,0,104.12,0,515500,104.12,67.68,67.68,67.68
1880,ACL,J6930,FT PAD,,,0,0,207.73,0,515800,207.73,110.41,110.41,110.41
1881,ACL,J6964,ATE REAR PADS,,,0,0,86,0,516100,86,64.12,64.12,64.12
1882,ACL,J8080,ACBIN AIR FILTER,,,0,0,39.56,0,516400,39.56,18.05,18.05,18
1883,ACL,J8081,CABIN FILTER,,,0,0,27.26,0,516800,27.26,17.72,17.72,17.72
1884,ACL,J8975,Serpentine Belt 3PK585,,,0,0,7.91,0,517100,7.91,5.19,5.19,5.14
1885,ACL,J8976,SUPERCHARGER,,,1,1,,0,517400,,28.99,28.99,28.99
1886,ACL,J9185,SPARK PLUG /BSH 9606,,,0,0,15.11,0,517700,15.11,6.88,6.88,6.88
1887,ACL,9319J,ABS SENSOR,,,0,0,56.77,0,518000,56.77,27.82,27.82,27.82
1888,ACL,9549J,FLASHER RELAY,,,1,1,27.07,0,518300,27.07,12.75,12.75,12.75
1889,ACL,9601J,"Wiper Motor,Front 5 pin.",,,0,0,70.62,0,518600,70.62,45.9,45.9,45.9
1890,ACL,9612J,WIPER ROD,,ACL,2,2,11.64,0,518900,11.64,4,4,4
1891,ACL,J6863F,FREMAX ROTOR,,,0,0,150,0,519000,150,27.08,27.08,27.08
1892,ACL,4620JK,MOUNT KIT,,,5,5,26.07,0,519300,26.07,11.25,11.25,11.25
1893,ACL,J2110U,INTAKE GASKET,,,0,0,20,0,519600,20,10.55,10.55,10.55
1894,ACL,1081K,PCV REPAIR KIT,,,0,0,30,0,519900,30,20,20,20
1895,ACL,1089K,Oil Pan Hole Cover Kit,,,0,0,18.46,0,520200,18.46,12,12,12
1896,ACL,1094K,PCV/Boost Regulating Valve,,,1,1,72.86,0,520500,72.86,38.23,38.23,38.23
1897,ACL,1247K,TIMING KIT,,,1,1,168.57,0,520800,168.57,112,112,112
1898,ACL,1251K,TIMING KIT,,,1,1,135.29,0,521100,135.29,66.3,66.3,66.3
1899,ACL,1300K,UPPER CHAIN TIMING,,,0,0,89.66,0,521400,89.66,49.98,49.98,49.98
1900,ACL,1321K,Guide Rail Lower top. upto 0509,,,0,0,22.86,0,521700,22.86,12,12,12
1901,ACL,1380K,OIL FILTER,,ACL,1,1,19.23,0,522000,19.23,10.78,10.78,7.5
1902,ACL,1387K,OILFILTER GASKET,,,1,1,12.02,0,522300,12.02,3.25,3.25,3.25
1903,ACL,1414K,WATER PUMP,,,0,0,97,0,522400,97,67,67,67
1904,ACL,1442K,COOLANT TEE,,,1,1,12.69,0,522700,12.69,5,5,5
1905,ACL,1466K,THERMOSTAT,,,1,1,29.23,0,523000,29.23,19,19,19
1906,ACL,4473K,FT BEARING KIT,,,1,1,78.57,0,523300,78.57,38,38,38
1907,ACL,4620K,Strut Mount w. Bearing,,,1,1,17.26,0,523600,17.26,11.22,11.22,11.22
1908,ACL,4628K,STRUT MOUNT KIT,,ACL,2,2,80.71,0,523900,80.71,38,38,38
1909,ACL,5338K,BEARING 512319/  FEBI,,,2,2,207.14,0,524200,207.14,100,100,100
1910,ACL,5615K,UPPPER SHOCK MOUNT,,,0,0,,0,524500,,16.07,16.07,
1911,ACL,1241K1,OEM TIMING KIT,,,0,0,300,0,524800,300,195,195,195
1912,ACL,1242K1,TIMING KIT W/WP,,,1,1,400,0,525100,400,185,185,185
1913,ACL,1247K1,TIMING/W KIT,,,2,2,335.71,0,525400,335.71,175,175,175
1914,ACL,1247K2,TIMING/W KIT,,,1,1,337.14,0,525700,337.14,198,198,198
1915,ACL,1249K1,TIMING/W KIT,,,1,1,364.29,0,526000,364.29,210,210,195
1916,ACL,1250K2,TIMING/W KIT,,,0,0,268,0,526100,268,200,200,200
1917,ACL,1250K3,TIMING/W KIT,,,0,0,355.54,0,526400,355.54,248,248,134
1918,ACL,1251K1,TIMING/W KIT,,,1,1,204.07,0,526700,204.07,108,108,108
1919,ACL,1253K1,TIMING KIT,,,2,2,225,0,527000,225,99,99,99
1920,ACL,1253K3,WATER PUMP KIT,,,0,0,335.71,0,527300,335.71,185,185,185
1921,ACL,1253K4,TIMING /W KIT,,,0,0,241.43,0,527600,241.43,195,195,110
1922,ACL,17268K,BELT TENSIONER KIT,,,0,0,167.56,0,527700,167.56,137,137,137
1923,ACL,1466KG,SEAL,,,1,1,6.92,0,528000,6.92,4.5,4.5,4.5
1924,ACL,1466KH,SEAL,,,1,1,4.42,0,528300,4.42,2.87,2.87,2.87
1925,ACL,678L,ABS RING,,ACL,1,1,21.43,0,528600,21.43,10.2,10.2,10.2
1926,ACL,1096L,OIL LEVEL SENOR,,,0,0,107.14,0,528900,107.14,30,30,30
1927,ACL,1300L,UPPER CHAIN  GUIDE,,,0,0,42.87,0,529000,42.87,25,25,25
1928,ACL,1414L,WATER PUMP,,,1,1,98.57,0,529300,98.57,57,57,57
1929,ACL,1456L,Thermostat Housing Adapter,,,0,0,14.44,0,529600,14.44,7.28,7.28,7.28
1930,ACL,1498L,Rad Hose Quick Connect  LOWER,,,0,0,19.29,0,529900,19.29,8.71,8.71,8.71
1931,ACL,1623L,INTAKE GASKET,,,1,1,9.97,0,530200,9.97,2.61,2.61,2.61
1932,ACL,1721L,Fuel Injector,,,0,0,266.15,0,530500,266.15,135,135,108
1933,ACL,1787L,OIL LINE GASKET,,,0,0,3.54,0,530600,3.54,2.3,2.3,2.3
1934,ACL,1806L,INTERCOOLER,,,0,0,276.92,0,531000,276.92,180,180,180
1935,ACL,1843L,LH VALVE COVER GSK,,,1,1,16.54,0,531300,16.54,12,12,12
1936,ACL,2238L,CONVERTER,,ACL,0,0,508.57,0,531700,508.57,336,336,336
1937,ACL,4283L,Ball Joint,,,0,0,62.86,0,532000,62.86,34,34,34
1938,ACL,4284L,Ball Joint,,,0,0,62.86,0,532300,62.86,34,34,34
1939,ACL,4346L,UPPER FRONT LEFT ARM,,,0,0,150,0,532600,150,72,72,72
1940,ACL,4430L,FT.LH.ARM BUSHI,,,1,1,68.81,0,532900,68.81,28,28,28
1941,ACL,4761L,TRW ES80666,,,1,1,88,0,533200,88,23,23,23
1942,ACL,4762L,TRW ES80667,,,2,2,45,0,533500,45,23,23,23
1943,ACL,5507L,"Trailing Arm,Rear Left",,,0,0,69.23,0,533800,69.23,45,45,45
1944,ACL,6202L,"E-Brake Cable Tube,Left",,,0,0,19.46,0,534100,19.46,12.65,12.65,12.65
1945,ACL,6706L,BRAKE HOSE,,,2,2,18.4,0,534400,18.4,6.12,6.12,6.12
1946,ACL,6805L,CALIPER,,,0,0,,0,534800,,78,78,78
1947,ACL,6806L,NEW CALIPER ONLY!!!!!!!!!!!!!!!!,,,1,1,174.29,0,535100,174.29,86,86,86
1948,ACL,6858L,BRAKE PADS,,,0,0,99,0,535200,99,51,51,51
1949,ACL,6919L,BRAKE PADS  TRW TRW,,,0,0,99.98,0,535300,99.98,75,75,75
1950,ACL,6920L,FRONT BRAKE PAD TRW  TRW,,,1,1,95.85,0,535600,95.85,65.5,65.5,65.5
1951,ACL,6921L,BRAKE PADS  TRW D1014,,,1,1,136.93,0,535900,136.93,65,65,65
1952,ACL,6922L,BRAKE PADS D1129/TRW TRW,,,1,1,97.69,0,536200,97.69,63.5,63.5,63.5
1953,ACL,6926L,FRONT BRAKE PAD D1549  TRW,,ACL,1,1,132.14,0,536500,132.14,85,85,85
1954,ACL,6929L,FT PAD,,,0,0,,0,536800,,20,20,20
1955,ACL,6931L,BRAKE PADS TEX D768A,,,0,0,55.04,0,536900,55.04,39.4,39.4,39.4
1956,ACL,6932L,TRW PADS D687A,,,1,1,80.83,0,537200,80.83,54.25,54.25,37.85
1957,ACL,6933L,Front Brake Pads,,,0,0,104.29,0,537500,104.29,59.5,59.5,56
1958,ACL,6941L,D1111 BRAKE PADS,,,0,0,114.11,0,537800,114.11,59,59,59
1959,ACL,6942L,TRW PADS D1322A,,,0,0,140,0,538100,140,72,72,72
1960,ACL,6951L,REAR BRAKE PAD D1547/ TRW TRW,,ACL,1,1,75,0,538200,75,55,55,55
1961,ACL,6957L,TRW FRONT PADS D915  TRW TRW,,,1,1,98.5,0,538300,98.5,65.93,65.93,65.93
1962,ACL,6958L,"Brake Pads, Rear/1018",,,1,1,99,0,538600,99,51,51,51
1963,ACL,6958B,Rear Brake Pads,,,1,1,90.77,0,538600,90.77,59,59,59
1964,ACL,6960L,"Brake Pads,Rear/1108",,,0,0,85.71,0,538900,85.71,42,42,39
1965,ACL,6963L,"Brake Pads,Rear/1018",,,0,0,64.62,0,539200,64.62,42,42,42
1966,ACL,6968L,TRW PADS D840,,,2,2,97.14,0,539500,97.14,56,56,53
1967,ACL,6969L,"Brake Pads,Rear/1456",,,0,0,79.23,0,539800,79.23,50,50,51.5
1968,ACL,6974L,TRW PADS D228A,,,1,1,56.51,0,540100,56.51,27.5,27.5,27.5
1969,ACL,6975L,TRW PADS D340A,,,0,0,50,0,540400,50,17.8,17.8,17.8
1970,ACL,6976L,Rear Brake Pads,,,0,0,89.45,0,540500,89.45,58.14,58.14,58.14
1971,ACL,6977L,TRW PADS D340,,,0,0,64.71,0,540800,64.71,30,30,30
1972,ACL,6990L,TRW PADS D978 TRW,,,1,1,81.19,0,541100,81.19,47,47,47
1973,ACL,8491L,LEFT UPPER DOOR HINGE,,,0,0,45.37,0,541500,45.37,29.49,29.49,29.49
1974,ACL,8513L,LEFT FR. REGULATOR,,ACL,1,1,150,0,541800,150,47,47,75
1975,ACL,8517L,FT.LH.W/REG,,,0,0,178.57,0,542100,178.57,82,82,82
1976,ACL,8522L,Window Regulator,,,0,0,170,0,542400,170,92,92,89
1977,ACL,8534L,"Door Latch,Front Left",,,0,0,282.86,0,542700,282.86,148.75,148.75,148.75
1978,ACL,9051L,UF411 IGNI.COIL,,,0,0,62.83,0,543000,62.83,31,31,31
1979,ACL,9245L,CONTROL MODULE,,,2,2,127.14,0,543300,127.14,52.02,52.02,52.02
1980,ACL,9318L,ABS SENSOR,,,1,1,35.11,0,543600,35.11,14.85,14.85,14.85
1981,ACL,9324L,ABS Sensor,,,1,1,31.38,0,543900,31.38,15,15,20.4
1982,ACL,9325L,ABS SENSOR (R/L),,,1,1,61.23,0,544200,61.23,25,25,25
1983,ACL,9393L,LH LICENSE,,,0,0,22.92,0,544600,22.92,14.9,14.9,14.9
1984,ACL,9549L,Flasher Switch with Relay,,,0,0,142.86,0,544900,142.86,81.39,81.39,74
1985,ACL,9839L,WINDOW SWITCH,,,1,1,78.46,0,545000,78.46,51,51,51
1986,ACL,9914L,Spark Plug Wire Set,,ACL,1,1,141.43,0,545300,141.43,77.52,77.52,77.52
1987,ACL,L1330701,RE.BJ/BUSHING,,,0,0,72.39,0,545600,72.39,30.05,30.05,30.05
1988,ACL,L2698301,TIE ROD END LH,,,0,0,76.33,0,545900,76.33,40.07,40.07,40.07
1989,ACL,LR1388,OIL FILTER/VO1384,,,4,4,15,0,546200,15,6.86,6.86,6.86
1990,ACL,LR1391,OIL FILTER,,,2,2,31.76,0,546500,31.76,19.74,19.74,19.74
1991,ACL,LR1392,OIL FILTER,,,1,1,13.57,0,546800,13.57,6.38,6.38,6.38
1992,ACL,LR1393,OIL FILTER,,,0,0,16.04,0,547100,16.04,7.3,7.3,7.3
1993,ACL,LR1394,OIL FILTER,,,0,0,64.61,0,547400,64.61,35.3,35.3,35.3
1994,ACL,LR1400,WATER PUMP,,,1,1,169.37,0,547700,169.37,70.76,70.76,70.76
1995,ACL,LR1405,WATER PUMP,,,0,0,399.3,0,548000,399.3,195.63,195.63,195.63
1996,ACL,LR1472,Thermostat W/Housing,,,0,0,164.29,0,548300,164.29,93.45,93.45,89.79
1997,ACL,LR1473,THERMOSTAT WITH HOUSING,,,0,0,268.57,0,548600,268.57,122.81,122.81,122.81
1998,ACL,LR1602,Air Filter,,,0,0,24.53,0,548900,24.53,12.02,12.02,12.02
1999,ACL,LR1603,AIR FILTER,,,1,1,28.57,0,549200,28.57,12.35,12.35,12.35
2000,ACL,LR1604,AIR FILTER,,,2,2,34.61,0,549500,34.61,19.92,19.92,17.835
2001,ACL,LR1606,AIR FILTER,,,0,0,35.52,0,549800,35.52,23.09,23.09,23.09
2002,ACL,LR1636,CABIN  FILTER,,,1,1,36.33,0,550100,36.33,15.43,15.43,15.43
2003,ACL,LR2110,INTAKE GASKET,,,0,0,7.19,0,550400,7.19,3.52,3.52,3.52
2004,ACL,LR4220,"Control Arm Bushing, Front",,,0,0,71.31,0,550700,71.31,46.35,46.35,46.35
2005,ACL,LR4229,Control Arm Bushing,,,0,0,30.83,0,551000,30.83,20.04,20.04,20.04
2006,ACL,LR4275,LR BALL JOINT,,,1,1,71.14,0,551300,71.14,34.8,34.8,34.8
2007,ACL,LR4280,"Lower Ball Joint,Front",,,0,0,54.28,0,551600,54.28,37.89,37.89,35.28
2008,ACL,LR4283,FT BALL JOINT,,,0,0,48.58,0,552000,48.58,31.58,31.58,31.58
2009,ACL,LR4470,FRONT WHEEL HUB/BEARING,,,0,0,598.21,0,552300,598.21,335.56,335.56,335.56
2010,ACL,LR4471,FRONT HUB,,,0,0,264.8,0,552600,264.8,144.65,144.65,144.65
2011,ACL,LR4610,FRONT AIR STRUT LH/RH,,,0,0,490,0,552900,490,375.11,375.11,375.11
2012,ACL,LR4612,RH FT SHOCK,,,0,0,886.15,0,553300,886.15,576,576,576
2013,ACL,LR4613,LH FT SHOCK,,,0,0,886.15,0,553700,886.15,576,576,576
2014,ACL,LR4656,"Sway Bar Link,Front Right",,,0,0,55,0,554000,55,18.9,18.9,16.23
2015,ACL,LR4657,"Sway Bar Link,Front Left",,,0,0,55,0,554300,55,18.9,18.9,16.23
2016,ACL,LR4670,Sway Bar Link,,,0,0,66.66,0,554600,66.66,23.33,23.33,23.33
2017,ACL,LR4674,FT.SWLK,,,2,2,41.84,0,554900,41.84,15.54,15.54,17.29
2018,ACL,LR4760,TIE ROD END,,,0,0,41.82,0,555200,41.82,27.18,27.18,27.18
2019,ACL,LR4770,OUTER TIROD,,ACL,0,0,107.96,0,555500,107.96,49.12,49.12,49.12
2020,ACL,LR5476,REAR WHRRL BEARING,,,0,0,131.01,0,555800,131.01,105.01,105.01,105.01
2021,ACL,LR5776,"Sway Bar Link, Rear",,,0,0,58.57,0,556100,58.57,31.58,31.58,31.58
2022,ACL,LR5777,"Sway Bar Link, Rear",,,0,0,27.14,0,556400,27.14,14.75,14.75,14.75
2023,ACL,LR5901,"CV Boot Kit, Rear",,,0,0,88.57,0,556700,88.57,48.14,48.14,48.14
2024,ACL,LR6071,TPMS,,,0,0,133.74,0,557000,133.74,60.85,60.85,60.85
2025,ACL,LR6074,TPMS,,,0,0,98.31,0,557400,98.31,63.9,63.9,63.9
2026,ACL,LR6201,BRAKE SENSOR,,,2,2,26.15,0,557700,26.15,17,17,17
2027,ACL,LR6203,PAD SENSOR,,,2,2,22.65,0,558000,22.65,15,15,15
2028,ACL,LR6205,BRAKE  PADS SENSOR,,,1,1,22.5,0,558100,22.5,17,17,17
2029,ACL,LR6206,"Brake Wear Sensor,Front",,,2,2,25.64,0,558400,25.64,14,14,14
2030,ACL,LR6207,"Brake Wear Sensor, Front",,,3,3,24.15,0,558700,24.15,15.7,15.7,15.7
2031,ACL,LR6208,FT SENSOR,,,6,6,22.86,0,559000,22.86,15,15,13.2
2032,ACL,LR6209,WEAR INDICATOR 337MM ROTOR,,,3,3,30.81,0,559300,30.81,16,16,14.393
2033,ACL,LR6210,"Brake Wear Sensor, Front",,,1,1,28.69,0,559600,28.69,21,21,21
2034,ACL,LR6211,PAD SENSOR,,,0,0,25,0,559900,25,12.2,12.2,12.2
2035,ACL,LR6212,FT BRAKE SENSOR,,,1,1,,0,560200,,15,15,15
2036,ACL,LR6220,PAD SENSOR /10055,,,4,4,33.67,0,560500,33.67,9.58,9.58,12.21
2037,ACL,LR6221,REAR BRAKE SENSOR,,,2,2,,0,560800,,14,14,14
2038,ACL,LR6222,REAR SENSOR,,,3,3,,0,561100,,14,14,14
2039,ACL,LR6223,REAR BRAKE SENSOR,,,1,1,,0,561400,,15,15,15
2040,ACL,LR6823,FT ROTORS,,,0,0,111.32,0,561700,111.32,72.36,72.36,72.36
2041,ACL,LR6826,FRONT ROTOR,,,0,0,98.66,0,562000,98.66,71.32,71.32,71.32
2042,ACL,LR6827,FRONT ROTOR,,,2,2,152.31,0,562300,152.31,75,75,75
2043,ACL,LR6828,"Brake Disc, Front/34489",,,0,0,285.71,0,562600,285.71,165.01,165.01,165.01
2044,ACL,LR6863,RR ROTORS,,,0,0,92.31,0,562900,92.31,60,60,60
2045,ACL,LR6866,REAR ROTOR,,,0,0,183.08,0,563200,183.08,119,119,119
2046,ACL,LR6888,"Brake Disc, Rear 302mm - Solid",,,2,2,118.1,0,563500,118.1,62.14,62.14,62.14
2047,ACL,LR6921,"Brake Pads, Front/676",,,0,0,85.8,0,563800,85.8,40.28,40.28,55.77
2048,ACL,LR6923,FT PAD,,,0,0,99.79,0,564100,99.79,51.26,51.26,51.26
2049,ACL,LR6925,TRW PADS,,,0,0,140.8,0,564400,140.8,79.95,79.95,78.83
2050,ACL,LR6926,FRONT PADS,,,0,0,115,0,564700,115,74.75,74.75,74.75
2051,ACL,LR6981,REAR BRAKE PADS,,,1,1,110.36,0,565000,110.36,50.21,50.21,50.21
2052,ACL,LR6983,"Brake Pads, Rear",,,1,1,150.89,0,565300,150.89,56.05,56.05,80.62
2053,ACL,LR6988,"Brake Pads, Rear/1307",,,0,0,80.89,0,565600,80.89,42.46,42.46,42.46
2054,ACL,LR8109,BLOWER MOTR RESISTOR,,,1,1,159.17,0,565900,159.17,70.71,70.71,70.71
2055,ACL,LR8401,Hood Strut,,,0,0,34.29,0,566000,34.29,14.75,14.75,14.75
2056,ACL,LR8405,Hatch Strut,,,0,0,,0,566100,,18,18,18
2057,ACL,LR8409,LIFT SUPPORTS,,,0,0,37.78,0,566200,37.78,24.56,24.56,24.56
2058,ACL,LR8518,"Window Regulator,Front Right",,,0,0,57.54,0,566500,57.54,37.4,37.4,37.4
2059,ACL,LR8700,Wiper Balde Set,,,0,0,64.29,0,566800,64.29,45,45,45
2060,ACL,LR8703,WIPER BLADE,,,0,0,70,0,567100,70,31.78,31.78,31.78
2061,ACL,LR8705,Wiper Blade Set,,,1,1,55.71,0,567400,55.71,38.39,38.39,38.39
2062,ACL,LR8973,SERPENTINE BELT,,,1,1,46.91,0,567800,46.91,22.99,22.99,22.99
2063,ACL,LR8978,SECONDARY BELT,,,0,0,39.99,0,568100,39.99,16.99,16.99,16.99
2064,ACL,LR9030,Idler Pulley,,,0,0,74,0,568400,74,55,55,55
2065,ACL,LR9031,Belt Tensioner,,,0,0,84,0,568700,84,58.95,58.95,58.95
2066,ACL,LR9146,CAM POSITION SENSOR,,,0,0,73,0,569000,73,50.55,50.55,50.55
2067,ACL,LR9185,NLP100320 SPARK PLUG,,,0,0,10.58,0,569300,10.58,6.88,6.88,6.88
2068,ACL,LR9190,SPARK PLUG ILKAR7C10,,ACL,8,8,20.84,0,569600,20.84,10.46,10.46,10.46
2069,ACL,LR9421,LH AIR SUSPENSION SENDOR,,,0,0,201.85,0,570000,201.85,131.2,131.2,131.2
2070,ACL,LR9422,FRONT LEVEL SENSOR,,,0,0,88.74,0,570100,88.74,57.68,57.68,57.68
2071,ACL,LR9434,REAR LEVEL SENSOR,,,0,0,199.45,0,570500,199.45,129.64,129.64,129.64
2072,ACL,LR014147,BEARING,,,0,0,364.29,0,570800,364.29,173,173,173
2073,ACL,LR025739,REAR PAD,,,0,0,152.86,0,571100,152.86,80,80,80
2074,ACL,LR1391B,OIL FILTER,,,0,0,6.92,0,571200,6.92,4.5,4.5,4.5
2075,ACL,LR1608B,AIR  FILTER,,,1,1,50,0,571500,50,24.11,24.11,24.11
2076,ACL,LR4222B,"Bolt, M16x120",,,0,0,19,0,571800,19,9.34,9.34,9.34
2077,ACL,LR4280B,BOLT M16X200,,,0,0,42.14,0,572100,42.14,21.4,21.4,21.4
2078,ACL,LR6923B,FT BRAKE PAD,,,0,0,72.23,0,572400,72.23,46.95,46.95,46.95
2079,ACL,LR6981B,REAR PADS,,,1,1,81.41,0,572700,81.41,32,32,32
2080,ACL,LR6922BB,FRONT,,,0,0,108.66,0,573000,108.66,88,88,88
2081,ACL,LR6826BC,FRONT ROTOR,,,0,0,196.86,0,573300,196.86,127.96,127.96,127.96
2082,ACL,LR6827BC,FRONT ROTOR,,,0,0,220.93,0,573600,220.93,114.97,114.97,114.97
2083,ACL,LR6826F,FRONT ROTOR,,,2,2,99.99,0,573900,99.99,88.33,88.33,88.33
